ID;Band;Titel;Mermaid;SVG;PNG
T04-03-lebenszyklen;Band 4;03 Lebenszyklen;volumes/Band-04/diagrams/mermaid/03-lebenszyklen.mmd;volumes/Band-04/diagrams/svg/03-lebenszyklen.svg;volumes/Band-04/diagrams/png/03-lebenszyklen.png
T04-04-beziehungsmodell;Band 4;04 Beziehungsmodell;volumes/Band-04/diagrams/mermaid/04-beziehungsmodell.mmd;volumes/Band-04/diagrams/svg/04-beziehungsmodell.svg;volumes/Band-04/diagrams/png/04-beziehungsmodell.png
T04-05-pipeline-portfolio;Band 4;05 Pipeline Portfolio;volumes/Band-04/diagrams/mermaid/05-pipeline-portfolio.mmd;volumes/Band-04/diagrams/svg/05-pipeline-portfolio.svg;volumes/Band-04/diagrams/png/05-pipeline-portfolio.png
T04-06-suche-indexierung;Band 4;06 Suche Indexierung;volumes/Band-04/diagrams/mermaid/06-suche-indexierung.mmd;volumes/Band-04/diagrams/svg/06-suche-indexierung.svg;volumes/Band-04/diagrams/png/06-suche-indexierung.png
T04-07-reporting-snapshot;Band 4;07 Reporting Snapshot;volumes/Band-04/diagrams/mermaid/07-reporting-snapshot.mmd;volumes/Band-04/diagrams/svg/07-reporting-snapshot.svg;volumes/Band-04/diagrams/png/07-reporting-snapshot.png
T04-08-audit-versionierung;Band 4;08 Audit Versionierung;volumes/Band-04/diagrams/mermaid/08-audit-versionierung.mmd;volumes/Band-04/diagrams/svg/08-audit-versionierung.svg;volumes/Band-04/diagrams/png/08-audit-versionierung.png
T05-01-betriebskontext;Band 5;01 Betriebskontext;volumes/Band-05/diagrams/mermaid/01-betriebskontext.mmd;volumes/Band-05/diagrams/svg/01-betriebskontext.svg;volumes/Band-05/diagrams/png/01-betriebskontext.png
T05-02-betriebszustaende;Band 5;02 Betriebszustaende;volumes/Band-05/diagrams/mermaid/02-betriebszustaende.mmd;volumes/Band-05/diagrams/svg/02-betriebszustaende.svg;volumes/Band-05/diagrams/png/02-betriebszustaende.png
T05-03-logging-diagnosefluss;Band 5;03 Logging Diagnosefluss;volumes/Band-05/diagrams/mermaid/03-logging-diagnosefluss.mmd;volumes/Band-05/diagrams/svg/03-logging-diagnosefluss.svg;volumes/Band-05/diagrams/png/03-logging-diagnosefluss.png
T05-04-supportpaket;Band 5;04 Supportpaket;volumes/Band-05/diagrams/mermaid/04-supportpaket.mmd;volumes/Band-05/diagrams/svg/04-supportpaket.svg;volumes/Band-05/diagrams/png/04-supportpaket.png
T05-05-integritaetspruefung;Band 5;05 Integritaetspruefung;volumes/Band-05/diagrams/mermaid/05-integritaetspruefung.mmd;volumes/Band-05/diagrams/svg/05-integritaetspruefung.svg;volumes/Band-05/diagrams/png/05-integritaetspruefung.png
T05-06-backup-generationen;Band 5;06 Backup Generationen;volumes/Band-05/diagrams/mermaid/06-backup-generationen.mmd;volumes/Band-05/diagrams/svg/06-backup-generationen.svg;volumes/Band-05/diagrams/png/06-backup-generationen.png
T05-07-crash-recovery;Band 5;07 Crash Recovery;volumes/Band-05/diagrams/mermaid/07-crash-recovery.mmd;volumes/Band-05/diagrams/svg/07-crash-recovery.svg;volumes/Band-05/diagrams/png/07-crash-recovery.png
T05-08-update-rollback;Band 5;08 Update Rollback;volumes/Band-05/diagrams/mermaid/08-update-rollback.mmd;volumes/Band-05/diagrams/svg/08-update-rollback.svg;volumes/Band-05/diagrams/png/08-update-rollback.png
T05-09-bedrohungsgrenzen;Band 5;09 Bedrohungsgrenzen;volumes/Band-05/diagrams/mermaid/09-bedrohungsgrenzen.mmd;volumes/Band-05/diagrams/svg/09-bedrohungsgrenzen.svg;volumes/Band-05/diagrams/png/09-bedrohungsgrenzen.png
T06-01-architecture-governance-context;Band 6;01 Architecture Governance Context;volumes/Band-06/diagrams/mermaid/01-architecture-governance-context.mmd;volumes/Band-06/diagrams/svg/01-architecture-governance-context.svg;volumes/Band-06/diagrams/png/01-architecture-governance-context.png
T06-02-adr-lifecycle;Band 6;02 Adr Lifecycle;volumes/Band-06/diagrams/mermaid/02-adr-lifecycle.mmd;volumes/Band-06/diagrams/svg/02-adr-lifecycle.svg;volumes/Band-06/diagrams/png/02-adr-lifecycle.png
T06-03-change-impact-workflow;Band 6;03 Change Impact Workflow;volumes/Band-06/diagrams/mermaid/03-change-impact-workflow.mmd;volumes/Band-06/diagrams/svg/03-change-impact-workflow.svg;volumes/Band-06/diagrams/png/03-change-impact-workflow.png
T06-04-architecture-fitness-gates;Band 6;04 Architecture Fitness Gates;volumes/Band-06/diagrams/mermaid/04-architecture-fitness-gates.mmd;volumes/Band-06/diagrams/svg/04-architecture-fitness-gates.svg;volumes/Band-06/diagrams/png/04-architecture-fitness-gates.png
T06-05-dependency-boundaries;Band 6;05 Dependency Boundaries;volumes/Band-06/diagrams/mermaid/05-dependency-boundaries.mmd;volumes/Band-06/diagrams/svg/05-dependency-boundaries.svg;volumes/Band-06/diagrams/png/05-dependency-boundaries.png
T06-06-ui-component-decision-tree;Band 6;06 Ui Component Decision Tree;volumes/Band-06/diagrams/mermaid/06-ui-component-decision-tree.mmd;volumes/Band-06/diagrams/svg/06-ui-component-decision-tree.svg;volumes/Band-06/diagrams/png/06-ui-component-decision-tree.png
T06-07-extension-evolution-map;Band 6;07 Extension Evolution Map;volumes/Band-06/diagrams/mermaid/07-extension-evolution-map.mmd;volumes/Band-06/diagrams/svg/07-extension-evolution-map.svg;volumes/Band-06/diagrams/png/07-extension-evolution-map.png
T06-08-technical-debt-lifecycle;Band 6;08 Technical Debt Lifecycle;volumes/Band-06/diagrams/mermaid/08-technical-debt-lifecycle.mmd;volumes/Band-06/diagrams/svg/08-technical-debt-lifecycle.svg;volumes/Band-06/diagrams/png/08-technical-debt-lifecycle.png
T06-09-versioning-compatibility;Band 6;09 Versioning Compatibility;volumes/Band-06/diagrams/mermaid/09-versioning-compatibility.mmd;volumes/Band-06/diagrams/svg/09-versioning-compatibility.svg;volumes/Band-06/diagrams/png/09-versioning-compatibility.png
T06-10-consolidation-roadmap;Band 6;10 Consolidation Roadmap;volumes/Band-06/diagrams/mermaid/10-consolidation-roadmap.mmd;volumes/Band-06/diagrams/svg/10-consolidation-roadmap.svg;volumes/Band-06/diagrams/png/10-consolidation-roadmap.png
T07-01-validation-context;Band 7;01 Validation Context;volumes/Band-07/diagrams/mermaid/01-validation-context.mmd;volumes/Band-07/diagrams/svg/01-validation-context.svg;volumes/Band-07/diagrams/png/01-validation-context.png
T07-02-vertical-slice-scope;Band 7;02 Vertical Slice Scope;volumes/Band-07/diagrams/mermaid/02-vertical-slice-scope.mmd;volumes/Band-07/diagrams/svg/02-vertical-slice-scope.svg;volumes/Band-07/diagrams/png/02-vertical-slice-scope.png
T07-03-reference-components;Band 7;03 Reference Components;volumes/Band-07/diagrams/mermaid/03-reference-components.mmd;volumes/Band-07/diagrams/svg/03-reference-components.svg;volumes/Band-07/diagrams/png/03-reference-components.png
T07-04-save-project-sequence;Band 7;04 Save Project Sequence;volumes/Band-07/diagrams/mermaid/04-save-project-sequence.mmd;volumes/Band-07/diagrams/svg/04-save-project-sequence.svg;volumes/Band-07/diagrams/png/04-save-project-sequence.png
T07-05-migration-backup-restore;Band 7;05 Migration Backup Restore;volumes/Band-07/diagrams/mermaid/05-migration-backup-restore.mmd;volumes/Band-07/diagrams/svg/05-migration-backup-restore.svg;volumes/Band-07/diagrams/png/05-migration-backup-restore.png
T07-06-error-recovery-flow;Band 7;06 Error Recovery Flow;volumes/Band-07/diagrams/mermaid/06-error-recovery-flow.mmd;volumes/Band-07/diagrams/svg/06-error-recovery-flow.svg;volumes/Band-07/diagrams/png/06-error-recovery-flow.png
T07-07-fitness-pipeline;Band 7;07 Fitness Pipeline;volumes/Band-07/diagrams/mermaid/07-fitness-pipeline.mmd;volumes/Band-07/diagrams/svg/07-fitness-pipeline.svg;volumes/Band-07/diagrams/png/07-fitness-pipeline.png
T07-08-test-isolation;Band 7;08 Test Isolation;volumes/Band-07/diagrams/mermaid/08-test-isolation.mmd;volumes/Band-07/diagrams/svg/08-test-isolation.svg;volumes/Band-07/diagrams/png/08-test-isolation.png
T07-09-evidence-lifecycle;Band 7;09 Evidence Lifecycle;volumes/Band-07/diagrams/mermaid/09-evidence-lifecycle.mmd;volumes/Band-07/diagrams/svg/09-evidence-lifecycle.svg;volumes/Band-07/diagrams/png/09-evidence-lifecycle.png
T07-10-validation-roadmap;Band 7;10 Validation Roadmap;volumes/Band-07/diagrams/mermaid/10-validation-roadmap.mmd;volumes/Band-07/diagrams/svg/10-validation-roadmap.svg;volumes/Band-07/diagrams/png/10-validation-roadmap.png
T08-01-integration-context;Band 8;01 Integration Context;volumes/Band-08/diagrams/mermaid/01-integration-context.mmd;volumes/Band-08/diagrams/svg/01-integration-context.svg;volumes/Band-08/diagrams/png/01-integration-context.png
T08-02-trust-boundaries;Band 8;02 Trust Boundaries;volumes/Band-08/diagrams/mermaid/02-trust-boundaries.mmd;volumes/Band-08/diagrams/svg/02-trust-boundaries.svg;volumes/Band-08/diagrams/png/02-trust-boundaries.png
T08-03-external-reference-model;Band 8;03 External Reference Model;volumes/Band-08/diagrams/mermaid/03-external-reference-model.mmd;volumes/Band-08/diagrams/svg/03-external-reference-model.svg;volumes/Band-08/diagrams/png/03-external-reference-model.png
T08-04-ports-adapters;Band 8;04 Ports Adapters;volumes/Band-08/diagrams/mermaid/04-ports-adapters.mmd;volumes/Band-08/diagrams/svg/04-ports-adapters.svg;volumes/Band-08/diagrams/png/04-ports-adapters.png
T08-05-open-reference-sequence;Band 8;05 Open Reference Sequence;volumes/Band-08/diagrams/mermaid/05-open-reference-sequence.mmd;volumes/Band-08/diagrams/svg/05-open-reference-sequence.svg;volumes/Band-08/diagrams/png/05-open-reference-sequence.png
T08-06-metadata-refresh;Band 8;06 Metadata Refresh;volumes/Band-08/diagrams/mermaid/06-metadata-refresh.mmd;volumes/Band-08/diagrams/svg/06-metadata-refresh.svg;volumes/Band-08/diagrams/png/06-metadata-refresh.png
T08-07-import-pipeline;Band 8;07 Import Pipeline;volumes/Band-08/diagrams/mermaid/07-import-pipeline.mmd;volumes/Band-08/diagrams/svg/07-import-pipeline.svg;volumes/Band-08/diagrams/png/07-import-pipeline.png
T08-08-export-pipeline;Band 8;08 Export Pipeline;volumes/Band-08/diagrams/mermaid/08-export-pipeline.mmd;volumes/Band-08/diagrams/svg/08-export-pipeline.svg;volumes/Band-08/diagrams/png/08-export-pipeline.png
T08-09-degradation-flow;Band 8;09 Degradation Flow;volumes/Band-08/diagrams/mermaid/09-degradation-flow.mmd;volumes/Band-08/diagrams/svg/09-degradation-flow.svg;volumes/Band-08/diagrams/png/09-degradation-flow.png
T08-10-integration-roadmap;Band 8;10 Integration Roadmap;volumes/Band-08/diagrams/mermaid/10-integration-roadmap.mmd;volumes/Band-08/diagrams/svg/10-integration-roadmap.svg;volumes/Band-08/diagrams/png/10-integration-roadmap.png
